embedding_index,pid,image_path
248,BRAE9WYKXCX8YVUM,../data/images/BRAE9WYKXCX8YVUM.jpg
249,TSHE8HWMBE3PHY5Z,../data/images/TSHE8HWMBE3PHY5Z.jpg
250,BRAEB2ZTYW2ZVNAZ,../data/images/BRAEB2ZTYW2ZVNAZ.jpg
251,TRODZNTFF9EXWB5S,../data/images/TRODZNTFF9EXWB5S.jpg
252,BRAEBCY3U9ZWA3AG,../data/images/BRAEBCY3U9ZWA3AG.jpg
253,TOPEGKDCHFWS4HRY,../data/images/TOPEGKDCHFWS4HRY.jpg
254,LJGE8GG9PKZYPEPQ,../data/images/LJGE8GG9PKZYPEPQ.jpg
255,TOPEHZRABE92BKYA,../data/images/TOPEHZRABE92BKYA.jpg
256,TSHE9WZADKTETCYG,../data/images/TSHE9WZADKTETCYG.jpg
257,TSHE9QSCV9QZMMZH,../data/images/TSHE9QSCV9QZMMZH.jpg
258,JUMEGDXPKGX226PK,../data/images/JUMEGDXPKGX226PK.jpg
259,SHTEJVJMEYV6U4HU,../data/images/SHTEJVJMEYV6U4HU.jpg
260,TSHE9CK2HZBMRAGW,../data/images/TSHE9CK2HZBMRAGW.jpg
261,SHTEA48RPJADQQ5C,../data/images/SHTEA48RPJADQQ5C.jpg
262,ABQEJ7YQTNQGMXZV,../data/images/ABQEJ7YQTNQGMXZV.jpg
263,TSHE9GATGVKSBGFB,../data/images/TSHE9GATGVKSBGFB.jpg
264,LJGEJQ4H82QG64PN,../data/images/LJGEJQ4H82QG64PN.jpg
265,TSHE967UVGGCTBCV,../data/images/TSHE967UVGGCTBCV.jpg
266,BRAED6G6TVPF94CV,../data/images/BRAED6G6TVPF94CV.jpg
267,NDNEGCU4QZJUYCWG,../data/images/NDNEGCU4QZJUYCWG.jpg
268,ETHEGBVPYKM2GZUY,../data/images/ETHEGBVPYKM2GZUY.jpg
269,SWSE4DF6VQENZZGG,../data/images/SWSE4DF6VQENZZGG.jpg
270,SKIE4S4NN4MHYM3Z,../data/images/SKIE4S4NN4MHYM3Z.jpg
271,TOPE8ZAF4NMCGHR3,../data/images/TOPE8ZAF4NMCGHR3.jpg
272,TSHE9T8FCXUSMGVG,../data/images/TSHE9T8FCXUSMGVG.jpg
